Number of Hidden Layers, Number of Nodes per Hidden Layer, Activation function, learning rate, accuracy
1,17,ReLU,0.6,0.5506883604505632
1,17,ReLU,0.7,0.5682102628285357
1,17,ReLU,0.7999999999999999,0.5306633291614519
1,17,ReLU,0.8999999999999999,0.5494367959949937
1,17,ReLU,0.9999999999999999,0.5081351689612015
1,17,ReLU,1.0999999999999999,0.5331664580725908
1,17,ReLU,1.2,0.5569461827284106
1,17,ReLU,1.3,0.5006257822277848
1,17,Sigmoid,1.4000000000000001,0.6020025031289111
1,17,Sigmoid,1.5000000000000002,0.6107634543178974
1,17,Sigmoid,1.6000000000000003,0.5531914893617021
1,17,Sigmoid,1.7000000000000004,0.6020025031289111
1,17,Sigmoid,1.8000000000000005,0.5869837296620776
1,17,Sigmoid,1.9000000000000006,0.5456821026282853
1,17,Sigmoid,2.0000000000000004,0.5644555694618273
1,17,Sigmoid,2.1000000000000005,0.5294117647058824
1,17,Softmax,3.0000000000000013,0.5569461827284106
1,17,Softmax,3.1000000000000014,0.5244055068836045
1,17,Softmax,3.2000000000000015,0.5406758448060075
1,17,Softmax,3.3000000000000016,0.5156445556946183
1,17,Softmax,3.4000000000000017,0.5481852315394243
1,17,Softmax,3.5000000000000018,0.5444305381727159
1,17,Softmax,3.600000000000002,0.48685857321652065
1,17,Softmax,3.700000000000002,0.5344180225281602
1,17,Tanh,2.2000000000000006,0.5018773466833542
1,17,Tanh,2.3000000000000007,0.44180225281602004
1,17,Tanh,2.400000000000001,0.48435544430538174
1,17,Tanh,2.500000000000001,0.4643304130162703
1,17,Tanh,2.600000000000001,0.3879849812265332
1,17,Tanh,2.700000000000001,0.40550688360450565
1,17,Tanh,2.800000000000001,0.4430538172715895
1,17,Tanh,2.9000000000000012,0.40550688360450565
1,18,ReLU,0.6,0.5619524405506884
1,18,ReLU,0.7,0.5882352941176471
1,18,ReLU,0.7999999999999999,0.541927409261577
1,18,ReLU,0.8999999999999999,0.5244055068836045
1,18,ReLU,0.9999999999999999,0.5244055068836045
1,18,ReLU,1.0999999999999999,0.5118898623279099
1,18,ReLU,1.2,0.5193992490613266
1,18,ReLU,1.3,0.5031289111389237
1,18,Sigmoid,1.4000000000000001,0.5394242803504381
1,18,Sigmoid,1.5000000000000002,0.5607008760951189
1,18,Sigmoid,1.6000000000000003,0.5619524405506884
1,18,Sigmoid,1.7000000000000004,0.5969962453066333
1,18,Sigmoid,1.8000000000000005,0.5369211514392991
1,18,Sigmoid,1.9000000000000006,0.5682102628285357
1,18,Sigmoid,2.0000000000000004,0.5782227784730913
1,18,Sigmoid,2.1000000000000005,0.5594493116395495
1,18,Softmax,3.0000000000000013,0.5319148936170213
1,18,Softmax,3.1000000000000014,0.5006257822277848
1,18,Softmax,3.2000000000000015,0.5894868585732165
1,18,Softmax,3.3000000000000016,0.5594493116395495
1,18,Softmax,3.4000000000000017,0.5481852315394243
1,18,Softmax,3.5000000000000018,0.4818523153942428
1,18,Softmax,3.600000000000002,0.4956195244055069
1,18,Softmax,3.700000000000002,0.5406758448060075
1,18,Tanh,2.2000000000000006,0.47309136420525655
1,18,Tanh,2.3000000000000007,0.45431789737171463
1,18,Tanh,2.400000000000001,0.4956195244055069
1,18,Tanh,2.500000000000001,0.4305381727158949
1,18,Tanh,2.600000000000001,0.4430538172715895
1,18,Tanh,2.700000000000001,0.45431789737171463
1,18,Tanh,2.800000000000001,0.4918648310387985
1,18,Tanh,2.9000000000000012,0.5081351689612015
1,19,ReLU,0.6,0.5707133917396746
1,19,ReLU,0.7,0.5932415519399249
1,19,ReLU,0.7999999999999999,0.5394242803504381
1,19,ReLU,0.8999999999999999,0.590738423028786
1,19,ReLU,0.9999999999999999,0.5669586983729662
1,19,ReLU,1.0999999999999999,0.49687108886107634
1,19,ReLU,1.2,0.5281602002503129
1,19,ReLU,1.3,0.5106382978723404
1,19,Sigmoid,1.4000000000000001,0.6057571964956195
1,19,Sigmoid,1.5000000000000002,0.6357947434292867
1,19,Sigmoid,1.6000000000000003,0.5294117647058824
1,19,Sigmoid,1.7000000000000004,0.5632040050062578
1,19,Sigmoid,1.8000000000000005,0.6020025031289111
1,19,Sigmoid,1.9000000000000006,0.571964956195244
1,19,Sigmoid,2.0000000000000004,0.5481852315394243
1,19,Sigmoid,2.1000000000000005,0.5794743429286608
1,19,Softmax,3.0000000000000013,0.5331664580725908
1,19,Softmax,3.1000000000000014,0.5056320400500626
